tau,r,phi,t,E
1.699999999999878e+00,2.152472819151156e+00,7.082827797660681e-01,3.136151834280046e+00,-3.957940363962550e-02
1.719999999999876e+00,2.154040500403435e+00,7.160472322031162e-01,3.171891257283208e+00,-3.956469428205191e-02
1.739999999999874e+00,2.155604449767362e+00,7.238004045843186e-01,3.207608175427840e+00,-3.955018589475214e-02
1.759999999999871e+00,2.157164709503578e+00,7.315423481178500e-01,3.243302702776419e+00,-3.953587586437581e-02
1.779999999999869e+00,2.158721321507440e+00,7.392731134656709e-01,3.278974952113838e+00,-3.952176162216999e-02
1.799999999999867e+00,2.160274327313550e+00,7.469927507503955e-01,3.314625034964840e+00,-3.950784064310427e-02
1.819999999999865e+00,2.161823768100215e+00,7.547013095620561e-01,3.350253061611144e+00,-3.949411044501452e-02
1.839999999999863e+00,2.163369684693831e+00,7.623988389647582e-01,3.385859141108299e+00,-3.948056858776729e-02
1.859999999999860e+00,2.164912117573201e+00,7.700853875032398e-01,3.421443381302231e+00,-3.946721267244190e-02
1.879999999999858e+00,2.166451106873783e+00,7.777610032093213e-01,3.457005888845537e+00,-3.945404034053104e-02
1.899999999999856e+00,2.167986692391870e+00,7.854257336082631e-01,3.492546769213492e+00,-3.944104927315952e-02
1.919999999999854e+00,2.169518913588705e+00,7.930796257250232e-01,3.528066126719789e+00,-3.942823719032017e-02
1.939999999999852e+00,2.171047809594524e+00,8.007227260904171e-01,3.563564064532027e+00,-3.941560185012632e-02
1.959999999999849e+00,2.172573419212549e+00,8.083550807471915e-01,3.599040684686940e+00,-3.940314104808106e-02
1.979999999999847e+00,2.174095780922910e+00,8.159767352559962e-01,3.634496088105370e+00,-3.939085261636287e-02
1.999999999999845e+00,2.175614932886493e+00,8.235877347012758e-01,3.669930374607000e+00,-3.937873442312644e-02
2.019999999999843e+00,2.177130912948753e+00,8.311881236970653e-01,3.705343642924846e+00,-3.936678437181875e-02
2.039999999999841e+00,2.178643758643455e+00,8.387779463927033e-01,3.740735990719517e+00,-3.935500040051042e-02
2.059999999999838e+00,2.180153507196346e+00,8.463572464784584e-01,3.776107514593235e+00,-3.934338048124158e-02
2.079999999999836e+00,2.181660195528794e+00,8.539260671910732e-01,3.811458310103631e+00,-3.933192261938100e-02
2.099999999999834e+00,2.183163860261354e+00,8.614844513192246e-01,3.846788471777330e+00,-3.932062485300063e-02
2.119999999999832e+00,2.184664537717272e+00,8.690324412089048e-01,3.882098093123299e+00,-3.930948525226210e-02
2.139999999999830e+00,2.186162263925963e+00,8.765700787687221e-01,3.917387266646005e+00,-3.929850191881725e-02
2.159999999999827e+00,2.187657074626406e+00,8.840974054751269e-01,3.952656083858345e+00,-3.928767298522123e-02
2.179999999999825e+00,2.189149005270503e+00,8.916144623775568e-01,3.987904635294377e+00,-3.927699661435812e-02
2.199999999999823e+00,2.190638091026387e+00,8.991212901035116e-01,4.023133010521854e+00,-3.926647099887853e-02
2.219999999999821e+00,2.192124366781673e+00,9.066179288635507e-01,4.058341298154551e+00,-3.925609436064963e-02
2.239999999999819e+00,2.193607867146660e+00,9.141044184562224e-01,4.093529585864417e+00,-3.924586495021633e-02
2.259999999999816e+00,2.195088626457493e+00,9.215807982729186e-01,4.128697960393517e+00,-3.923578104627386e-02
2.279999999999814e+00,2.196566678779267e+00,9.290471073026628e-01,4.163846507565800e+00,-3.922584095515196e-02
2.299999999999812e+00,2.198042057909092e+00,9.365033841368269e-01,4.198975312298685e+00,-3.921604301030886e-02
2.319999999999810e+00,2.199514797379107e+00,9.439496669737835e-01,4.234084458614449e+00,-3.920638557183683e-02
2.339999999999808e+00,2.200984930459453e+00,9.513859936234912e-01,4.269174029651481e+00,-3.919686702597749e-02
2.359999999999805e+00,2.202452490161194e+00,9.588124015120142e-01,4.304244107675313e+00,-3.918748578464706e-02
2.379999999999803e+00,2.203917509239211e+00,9.662289276859805e-01,4.339294774089532e+00,-3.917824028497190e-02
