tau,r,phi,t,E
5.500000000000004e-02,4.975372902611478e+00,0.000000000000000e+00,6.879248484082066e-02,-4.949799315664555e-04
5.600000000000004e-02,4.974924573473597e+00,0.000000000000000e+00,7.004404775494924e-02,-5.040363156479932e-04
5.700000000000004e-02,4.974476224133594e+00,0.000000000000000e+00,7.129563904493370e-02,-5.130947403583636e-04
5.800000000000004e-02,4.974027854587825e+00,0.000000000000000e+00,7.254725871845542e-02,-5.221552064333529e-04
5.900000000000005e-02,4.973579464832649e+00,0.000000000000000e+00,7.379890678319903e-02,-5.312177146091085e-04
6.000000000000005e-02,4.973131054864422e+00,0.000000000000000e+00,7.505058324685245e-02,-5.402822656221107e-04
6.100000000000005e-02,4.972682624679497e+00,0.000000000000000e+00,7.630228811710683e-02,-5.493488602093116e-04
6.200000000000005e-02,4.972234174274230e+00,0.000000000000000e+00,7.755402140165664e-02,-5.584174991078994e-04
6.300000000000004e-02,4.971785703644972e+00,0.000000000000000e+00,7.880578310819958e-02,-5.674881830555062e-04
6.400000000000004e-02,4.971337212788074e+00,0.000000000000000e+00,8.005757324443664e-02,-5.765609127901250e-04
6.500000000000004e-02,4.970888701699888e+00,0.000000000000000e+00,8.130939181807209e-02,-5.856356890500819e-04
6.600000000000004e-02,4.970440170376761e+00,0.000000000000000e+00,8.256123883681346e-02,-5.947125125740915e-04
6.700000000000005e-02,4.969991618815041e+00,0.000000000000000e+00,8.381311430837157e-02,-6.037913841012432e-04
6.800000000000005e-02,4.969543047011076e+00,0.000000000000000e+00,8.506501824046052e-02,-6.128723043709872e-04
6.900000000000005e-02,4.969094454961210e+00,0.000000000000000e+00,8.631695064079768e-02,-6.219552741231066e-04
7.000000000000005e-02,4.968645842661789e+00,0.000000000000000e+00,8.756891151710373e-02,-6.310402940978149e-04
7.100000000000005e-02,4.968197210109155e+00,0.000000000000000e+00,8.882090087710262e-02,-6.401273650356309e-04
7.200000000000005e-02,4.967748557299650e+00,0.000000000000000e+00,9.007291872852159e-02,-6.492164876774897e-04
7.300000000000005e-02,4.967299884229615e+00,0.000000000000000e+00,9.132496507909117e-02,-6.583076627646872e-04
7.400000000000005e-02,4.966851190895391e+00,0.000000000000000e+00,9.257703993654517e-02,-6.674008910388385e-04
7.500000000000005e-02,4.966402477293316e+00,0.000000000000000e+00,9.382914330862073e-02,-6.764961732419889e-04
7.600000000000005e-02,4.965953743419726e+00,0.000000000000000e+00,9.508127520305824e-02,-6.855935101165306e-04
7.700000000000005e-02,4.965504989270959e+00,0.000000000000000e+00,9.633343562760142e-02,-6.946929024052029e-04
7.800000000000006e-02,4.965056214843349e+00,0.000000000000000e+00,9.758562458999727e-02,-7.037943508511474e-04
7.900000000000006e-02,4.964607420133231e+00,0.000000000000000e+00,9.883784209799611e-02,-7.128978561978527e-04
8.000000000000006e-02,4.964158605136937e+00,0.000000000000000e+00,1.000900881593515e-01,-7.220034191891961e-04
8.100000000000006e-02,4.963709769850800e+00,0.000000000000000e+00,1.013423627818205e-01,-7.311110405693877e-04
8.200000000000006e-02,4.963260914271149e+00,0.000000000000000e+00,1.025946659731632e-01,-7.402207210830680e-04
8.300000000000006e-02,4.962812038394313e+00,0.000000000000000e+00,1.038469977411432e-01,-7.493324614751967e-04
8.400000000000006e-02,4.962363142216621e+00,0.000000000000000e+00,1.050993580935273e-01,-7.584462624911220e-04
8.500000000000006e-02,4.961914225734401e+00,0.000000000000000e+00,1.063517470380858e-01,-7.675621248765668e-04
