r,phi
7.323171972911456e+01,4.291741738736640e+00
7.323171972911456e+01,4.291741738736640e+00
7.323171972911456e+01,4.291741739296040e+00
7.323171972911456e+01,4.291741739296040e+00
7.323171972911456e+01,4.291741739855441e+00
7.323171972911456e+01,4.291741739855441e+00
7.323171972911456e+01,4.291741740414841e+00
7.323171972911456e+01,4.291741740414841e+00
7.323171972911456e+01,4.291741740974242e+00
7.323171972911456e+01,4.291741740974242e+00
7.323171972911456e+01,4.291741741533643e+00
7.323171972911456e+01,4.291741741533643e+00
7.323171972911456e+01,4.291741742093043e+00
7.323171972911456e+01,4.291741742093043e+00
7.323171972911456e+01,4.291741742652444e+00
7.323171972911456e+01,4.291741742652444e+00
7.323171972911456e+01,4.291741743211844e+00
7.323171972911456e+01,4.291741743211844e+00
7.323171972911456e+01,4.291741743771245e+00
7.323171972911456e+01,4.291741743771245e+00
7.323171972911456e+01,4.291741744330645e+00
7.323171972911456e+01,4.291741744330645e+00
7.323171972911456e+01,4.291741744890046e+00
7.323171972911456e+01,4.291741744890046e+00
7.323171972911456e+01,4.291741745449446e+00
7.323171972911456e+01,4.291741745449446e+00
7.323171972911456e+01,4.291741746008847e+00
7.323171972911456e+01,4.291741746008847e+00
7.323171972911456e+01,4.291741746568247e+00
7.323171972911456e+01,4.291741746568247e+00
7.323171972911456e+01,4.291741747127648e+00
7.323171972911456e+01,4.291741747127648e+00
7.323171972911456e+01,4.291741747687048e+00
7.323171972911456e+01,4.291741747687048e+00
7.323171972911456e+01,4.291741748246449e+00
7.323171972911456e+01,4.291741748246449e+00
7.323171972911456e+01,4.291741748805849e+00
7.323171972911456e+01,4.291741748805849e+00
7.323171972911456e+01,4.291741749365250e+00
7.323171972911456e+01,4.291741749365250e+00
7.323171972911456e+01,4.291741749924650e+00
7.323171972911456e+01,4.291741749924650e+00
7.323171972911456e+01,4.291741750484051e+00
7.323171972911456e+01,4.291741750484051e+00
7.323171972911456e+01,4.291741751043451e+00
7.323171972911456e+01,4.291741751043451e+00
7.323171972911456e+01,4.291741751602852e+00
7.323171972911456e+01,4.291741751602852e+00
7.323171972911456e+01,4.291741752162253e+00
7.323171972911456e+01,4.291741752162253e+00
7.323171972911456e+01,4.291741752721653e+00
7.323171972911456e+01,4.291741752721653e+00
7.323171972911456e+01,4.291741753281054e+00
7.323171972911456e+01,4.291741753281054e+00
7.323171972911456e+01,4.291741753840454e+00
7.323171972911456e+01,4.291741753840454e+00
7.323171972911456e+01,4.291741754399855e+00
7.323171972911456e+01,4.291741754399855e+00
7.323171972911456e+01,4.291741754959255e+00
7.323171972911456e+01,4.291741754959255e+00
7.323171972911456e+01,4.291741755518656e+00
7.323171972911456e+01,4.291741755518656e+00
7.323171972911456e+01,4.291741756078056e+00
7.323171972911456e+01,4.291741756078056e+00
7.323171972911456e+01,4.291741756637457e+00
7.323171972911456e+01,4.291741756637457e+00
7.323171972911456e+01,4.291741757196857e+00
7.323171972911456e+01,4.291741757196857e+00
7.323171972911456e+01,4.291741757756258e+00
7.323171972911456e+01,4.291741757756258e+00
7.323171972911456e+01,4.291741758315658e+00
7.323171972911456e+01,4.291741758315658e+00
7.323171972911456e+01,4.291741758875059e+00
7.323171972911456e+01,4.291741758875059e+00
7.323171972911456e+01,4.291741759434459e+00
7.323171972911456e+01,4.291741759434459e+00
7.323171972911456e+01,4.291741759993860e+00
7.323171972911456e+01,4.291741759993860e+00
7.323171972911456e+01,4.291741760553260e+00
7.323171972911456e+01,4.291741760553260e+00
7.323171972911456e+01,4.291741761112661e+00
7.323171972911456e+01,4.291741761112661e+00
7.323171972911456e+01,4.291741761672061e+00
7.323171972911456e+01,4.291741761672061e+00
7.323171972911456e+01,4.291741762231462e+00
