tau,r,phi,t,E
1.420000000000001e-01,4.936292302885503e+00,0.000000000000000e+00,1.777854339692555e-01,-1.290598149490799e-03
1.440000000000001e-01,4.935392081423235e+00,0.000000000000000e+00,1.802935844253966e-01,-1.309073676637532e-03
1.460000000000001e-01,4.934491777852739e+00,0.000000000000000e+00,1.828018511396224e-01,-1.327557630986007e-03
1.480000000000001e-01,4.933591392144050e+00,0.000000000000000e+00,1.853102341757541e-01,-1.346050018688136e-03
1.500000000000001e-01,4.932690924267184e+00,0.000000000000000e+00,1.878187335976680e-01,-1.364550845901952e-03
1.520000000000001e-01,4.931790374192139e+00,0.000000000000000e+00,1.903273494692954e-01,-1.383060118791746e-03
1.540000000000001e-01,4.930889741888894e+00,0.000000000000000e+00,1.928360818546229e-01,-1.401577843527929e-03
1.560000000000001e-01,4.929989027327407e+00,0.000000000000000e+00,1.953449308176921e-01,-1.420104026287200e-03
1.580000000000001e-01,4.929088230477618e+00,0.000000000000000e+00,1.978538964225997e-01,-1.438638673252376e-03
1.600000000000001e-01,4.928187351309449e+00,0.000000000000000e+00,2.003629787334982e-01,-1.457181790612522e-03
1.620000000000001e-01,4.927286389792800e+00,0.000000000000000e+00,2.028721778145950e-01,-1.475733384562972e-03
1.640000000000001e-01,4.926385345897554e+00,0.000000000000000e+00,2.053814937301531e-01,-1.494293461305238e-03
1.660000000000001e-01,4.925484219593574e+00,0.000000000000000e+00,2.078909265444912e-01,-1.512862027047077e-03
1.680000000000001e-01,4.924583010850702e+00,0.000000000000000e+00,2.104004763219832e-01,-1.531439088002517e-03
1.700000000000001e-01,4.923681719638764e+00,0.000000000000000e+00,2.129101431270590e-01,-1.550024650391821e-03
1.720000000000001e-01,4.922780345927564e+00,0.000000000000000e+00,2.154199270242040e-01,-1.568618720441534e-03
1.740000000000001e-01,4.921878889686888e+00,0.000000000000000e+00,2.179298280779594e-01,-1.587221304384476e-03
1.760000000000001e-01,4.920977350886503e+00,0.000000000000000e+00,2.204398463529222e-01,-1.605832408459712e-03
1.780000000000001e-01,4.920075729496154e+00,0.000000000000000e+00,2.229499819137455e-01,-1.624452038912649e-03
1.800000000000001e-01,4.919174025485569e+00,0.000000000000000e+00,2.254602348251381e-01,-1.643080201994954e-03
1.820000000000001e-01,4.918272238824457e+00,0.000000000000000e+00,2.279706051518650e-01,-1.661716903964577e-03
1.840000000000001e-01,4.917370369482506e+00,0.000000000000000e+00,2.304810929587473e-01,-1.680362151085857e-03
1.860000000000001e-01,4.916468417429384e+00,0.000000000000000e+00,2.329916983106620e-01,-1.699015949629373e-03
1.880000000000001e-01,4.915566382634743e+00,0.000000000000000e+00,2.355024212725428e-01,-1.717678305872078e-03
1.900000000000001e-01,4.914664265068211e+00,0.000000000000000e+00,2.380132619093793e-01,-1.736349226097236e-03
1.920000000000001e-01,4.913762064699400e+00,0.000000000000000e+00,2.405242202862176e-01,-1.755028716594484e-03
1.940000000000001e-01,4.912859781497899e+00,0.000000000000000e+00,2.430352964681603e-01,-1.773716783659812e-03
1.960000000000001e-01,4.911957415433283e+00,0.000000000000000e+00,2.455464905203663e-01,-1.792413433595527e-03
1.980000000000001e-01,4.911054966475100e+00,0.000000000000000e+00,2.480578025080513e-01,-1.811118672710374e-03
2.000000000000001e-01,4.910152434592885e+00,0.000000000000000e+00,2.505692324964875e-01,-1.829832507319384e-03
2.020000000000002e-01,4.909249819756150e+00,0.000000000000000e+00,2.530807805510037e-01,-1.848554943744099e-03
2.040000000000002e-01,4.908347121934388e+00,0.000000000000000e+00,2.555924467369858e-01,-1.867285988312331e-03
2.060000000000002e-01,4.907444341097073e+00,0.000000000000000e+00,2.581042311198761e-01,-1.886025647358361e-03
2.080000000000002e-01,4.906541477213659e+00,0.000000000000000e+00,2.606161337651741e-01,-1.904773927222866e-03
2.100000000000002e-01,4.905638530253579e+00,0.000000000000000e+00,2.631281547384361e-01,-1.923530834252951e-03
2.120000000000002e-01,4.904735500186249e+00,0.000000000000000e+00,2.656402941052756e-01,-1.942296374802144e-03
2.140000000000002e-01,4.903832386981063e+00,0.000000000000000e+00,2.681525519313629e-01,-1.961070555230399e-03
2.160000000000002e-01,4.902929190607395e+00,0.000000000000000e+00,2.706649282824259e-01,-1.979853381904137e-03
2.180000000000002e-01,4.902025911034603e+00,0.000000000000000e+00,2.731774232242493e-01,-1.998644861196178e-03
2.200000000000002e-01,4.901122548232020e+00,0.000000000000000e+00,2.756900368226755e-01,-2.017444999485862e-03
2.220000000000002e-01,4.900219102168963e+00,0.000000000000000e+00,2.782027691436038e-01,-2.036253803158958e-03
2.240000000000002e-01,4.899315572814728e+00,0.000000000000000e+00,2.807156202529914e-01,-2.055071278607754e-03
2.260000000000002e-01,4.898411960138590e+00,0.000000000000000e+00,2.832285902168528e-01,-2.073897432230992e-03
2.280000000000002e-01,4.897508264109806e+00,0.000000000000000e+00,2.857416791012600e-01,-2.092732270433925e-03
2.300000000000002e-01,4.896604484697613e+00,0.000000000000000e+00,2.882548869723427e-01,-2.111575799628285e-03
