r,Veff
5.200000e+00,-2.567421e-02
5.210000e+00,-2.565765e-02
5.220000e+00,-2.564107e-02
5.230000e+00,-2.562447e-02
5.240000e+00,-2.560784e-02
5.250000e+00,-2.559119e-02
5.260000e+00,-2.557452e-02
5.270000e+00,-2.555783e-02
5.280000e+00,-2.554112e-02
5.290000e+00,-2.552438e-02
5.300000e+00,-2.550763e-02
5.310000e+00,-2.549086e-02
5.320000e+00,-2.547407e-02
5.330000e+00,-2.545727e-02
5.340000e+00,-2.544044e-02
5.350000e+00,-2.542360e-02
5.360000e+00,-2.540674e-02
5.370000e+00,-2.538986e-02
5.380000e+00,-2.537296e-02
5.390000e+00,-2.535605e-02
5.400000e+00,-2.533913e-02
5.410000e+00,-2.532218e-02
5.420000e+00,-2.530522e-02
5.430000e+00,-2.528825e-02
5.440000e+00,-2.527126e-02
5.450000e+00,-2.525426e-02
5.460000e+00,-2.523724e-02
5.470000e+00,-2.522021e-02
5.480000e+00,-2.520317e-02
5.490000e+00,-2.518611e-02
5.500000e+00,-2.516905e-02
5.510000e+00,-2.515196e-02
5.520000e+00,-2.513487e-02
5.530000e+00,-2.511777e-02
5.540000e+00,-2.510065e-02
5.550000e+00,-2.508352e-02
5.560000e+00,-2.506638e-02
5.570000e+00,-2.504923e-02
5.580000e+00,-2.503207e-02
5.590000e+00,-2.501490e-02
5.600000e+00,-2.499772e-02
5.610000e+00,-2.498053e-02
5.620000e+00,-2.496333e-02
5.630000e+00,-2.494613e-02
5.640000e+00,-2.492891e-02
5.650000e+00,-2.491169e-02
5.660000e+00,-2.489446e-02
5.670000e+00,-2.487722e-02
5.680000e+00,-2.485997e-02
5.690000e+00,-2.484271e-02
5.700000e+00,-2.482545e-02
5.710000e+00,-2.480818e-02
5.720000e+00,-2.479091e-02
5.730000e+00,-2.477363e-02
5.740000e+00,-2.475634e-02
5.750000e+00,-2.473905e-02
5.760000e+00,-2.472175e-02
5.770000e+00,-2.470445e-02
5.780000e+00,-2.468714e-02
5.790000e+00,-2.466982e-02
5.800000e+00,-2.465251e-02
5.810000e+00,-2.463519e-02
5.820000e+00,-2.461786e-02
5.830000e+00,-2.460053e-02
5.840000e+00,-2.458320e-02
5.850000e+00,-2.456586e-02
5.860000e+00,-2.454852e-02
5.870000e+00,-2.453118e-02
5.880000e+00,-2.451383e-02
5.890000e+00,-2.449648e-02
5.900000e+00,-2.447913e-02
5.910000e+00,-2.446178e-02
5.920000e+00,-2.444443e-02
5.930000e+00,-2.442707e-02
5.940000e+00,-2.440972e-02
5.950000e+00,-2.439236e-02
5.960000e+00,-2.437500e-02
5.970000e+00,-2.435764e-02
5.980000e+00,-2.434028e-02
5.990000e+00,-2.432292e-02
6.000000e+00,-2.430556e-02
6.010000e+00,-2.428819e-02
6.020000e+00,-2.427083e-02
6.030000e+00,-2.425347e-02
6.040000e+00,-2.423611e-02
6.050000e+00,-2.421875e-02
6.060000e+00,-2.420140e-02
6.070000e+00,-2.418404e-02
6.080000e+00,-2.416668e-02
6.090000e+00,-2.414933e-02
6.100000e+00,-2.413198e-02
6.110000e+00,-2.411462e-02
6.120000e+00,-2.409728e-02
6.130000e+00,-2.407993e-02
6.140000e+00,-2.406259e-02
6.150000e+00,-2.404524e-02
6.160000e+00,-2.402790e-02
6.170000e+00,-2.401057e-02
6.180000e+00,-2.399323e-02
6.190000e+00,-2.397590e-02
6.200000e+00,-2.395858e-02
6.210000e+00,-2.394125e-02
6.220000e+00,-2.392394e-02
6.230000e+00,-2.390662e-02
6.240000e+00,-2.388931e-02
6.250000e+00,-2.387200e-02
6.260000e+00,-2.385470e-02
6.270000e+00,-2.383740e-02
6.280000e+00,-2.382010e-02
6.290000e+00,-2.380281e-02
6.300000e+00,-2.378553e-02
6.310000e+00,-2.376825e-02
6.320000e+00,-2.375097e-02
6.330000e+00,-2.373370e-02
6.340000e+00,-2.371644e-02
6.350000e+00,-2.369918e-02
6.360000e+00,-2.368193e-02
6.370000e+00,-2.366468e-02
6.380000e+00,-2.364744e-02
6.390000e+00,-2.363020e-02
6.400000e+00,-2.361298e-02
6.410000e+00,-2.359575e-02
6.420000e+00,-2.357854e-02
6.430000e+00,-2.356133e-02
6.440000e+00,-2.354413e-02
6.450000e+00,-2.352693e-02
6.460000e+00,-2.350974e-02
6.470000e+00,-2.349256e-02
6.480000e+00,-2.347538e-02
6.490000e+00,-2.345822e-02
6.500000e+00,-2.344106e-02
6.510000e+00,-2.342390e-02
6.520000e+00,-2.340676e-02
6.530000e+00,-2.338962e-02
6.540000e+00,-2.337249e-02
6.550000e+00,-2.335537e-02
6.560000e+00,-2.333826e-02
6.570000e+00,-2.332115e-02
6.580000e+00,-2.330406e-02
