tau,r,phi,t,E
2.679999999999816e+00,1.020571165981953e+01,7.728000823410094e-02,2.941445442748653e+00,-1.002131277449638e-02
2.699999999999814e+00,1.020584272138777e+01,7.785605678948856e-02,2.963395146205014e+00,-1.002163017055768e-02
2.719999999999811e+00,1.020597475162119e+01,7.843209049537254e-02,2.985344818929204e+00,-1.002194989405206e-02
2.739999999999809e+00,1.020610775046380e+01,7.900810924298932e-02,3.007294460695814e+00,-1.002227194443819e-02
2.759999999999807e+00,1.020624171785919e+01,7.958411292359426e-02,3.029244071279470e+00,-1.002259632117086e-02
2.779999999999805e+00,1.020637665375056e+01,8.016010142846200e-02,3.051193650454829e+00,-1.002292302370100e-02
2.799999999999803e+00,1.020651255808069e+01,8.073607464888662e-02,3.073143197996580e+00,-1.002325205147561e-02
2.819999999999800e+00,1.020664943079196e+01,8.131203247618161e-02,3.095092713679449e+00,-1.002358340393781e-02
2.839999999999798e+00,1.020678727182633e+01,8.188797480168011e-02,3.117042197278193e+00,-1.002391708052683e-02
2.859999999999796e+00,1.020692608112537e+01,8.246390151673509e-02,3.138991648567603e+00,-1.002425308067803e-02
2.879999999999794e+00,1.020706585863023e+01,8.303981251271937e-02,3.160941067322503e+00,-1.002459140382290e-02
2.899999999999792e+00,1.020720660428167e+01,8.361570768102584e-02,3.182890453317753e+00,-1.002493204938903e-02
2.919999999999789e+00,1.020734831802002e+01,8.419158691306758e-02,3.204839806328246e+00,-1.002527501680012e-02
2.939999999999787e+00,1.020749099978522e+01,8.476745010027803e-02,3.226789126128914e+00,-1.002562030547605e-02
2.959999999999785e+00,1.020763464951680e+01,8.534329713411101e-02,3.248738412494719e+00,-1.002596791483278e-02
2.979999999999783e+00,1.020777926715387e+01,8.591912790604100e-02,3.270687665200659e+00,-1.002631784428243e-02
2.999999999999781e+00,1.020792485263517e+01,8.649494230756316e-02,3.292636884021769e+00,-1.002667009323319e-02
3.019999999999778e+00,1.020807140589899e+01,8.707074023019357e-02,3.314586068733121e+00,-1.002702466108948e-02
3.039999999999776e+00,1.020821892688324e+01,8.764652156546920e-02,3.336535219109819e+00,-1.002738154725179e-02
3.059999999999774e+00,1.020836741552541e+01,8.822228620494829e-02,3.358484334927006e+00,-1.002774075111676e-02
3.079999999999772e+00,1.020851687176261e+01,8.879803404021032e-02,3.380433415959861e+00,-1.002810227207718e-02
3.099999999999770e+00,1.020866729553151e+01,8.937376496285619e-02,3.402382461983597e+00,-1.002846610952197e-02
3.119999999999767e+00,1.020881868676839e+01,8.994947886450831e-02,3.424331472773468e+00,-1.002883226283620e-02
3.139999999999765e+00,1.020897104540913e+01,9.052517563681071e-02,3.446280448104762e+00,-1.002920073140109e-02
3.159999999999763e+00,1.020912437138920e+01,9.110085517142942e-02,3.468229387752807e+00,-1.002957151459401e-02
3.179999999999761e+00,1.020927866464366e+01,9.167651736005226e-02,3.490178291492966e+00,-1.002994461178846e-02
